Исходные данные,Референс,Результат работы классификатора
уровень K7-22-TDDQ-6688 Радиотехнический,тренога K7-22-TDDQ-6688 ,1
пульсометр 95-41-0OZP-5856 ,термометр 95-41-0OZP-5856 ,1
пассатижи 6X-85-J1XC-1824 Автоматический,субкультура 6X-85-J1XC-1824 Расчетный,1
темномер HF-38-RZQ0-9469 Механический,темномер HF-38-RZQ0-9469 Механический,1
клещи KR-81-DKBF-7366 ,клещи S5-06-FAC7-9014 ,0
шпатель 8F-39-01TL-8545 Компьютерный,полумесяц 8F-39-01TL-8545 ,1
тара SD-84-CYSO-6051 ,тара 5L-68-NT2A-6623 ,0
вал 0N-79-OWPO-6502 Пневматический,гидрамеханика 0N-79-OWPO-6502 ,1
лента S7-02-I0LG-7611 Гальванический,лента X4-55-TRRL-1744 Гальванический,0
спарка DV-34-OXD0-5942 Аэродинамический,шкала DV-34-OXD0-5942 ,1
субкультура KA-05-XOMD-4731 Радиочастотный,гирокомпас KA-05-XOMD-4731 ,1
стамеска 89-31-3G1Z-0616 ,стамеска 89-31-3G1Z-0616 ,1
ассоциация O1-69-2P8P-5123 Механический,ассоциация 1E-02-6L9N-8366 Механический,0
кисточка C8-26-JCOQ-5604 Сверхпроводящий,амортизация C8-26-JCOQ-5604 ,1
игла OF-85-ZE26-0953 Лазерный,ключ OF-85-ZE26-0953 ,1
отвертка 48-64-F5SR-8246 Автоматический,эксперимент 48-64-F5SR-8246 Гравитационный,1
каталогизация MO-84-DXAW-4225 Управляющий,гидростатика MO-84-DXAW-4225 Проектировочный,1
цилиндр XH-80-7D4X-7620 ,термометр XH-80-7D4X-7620 ,1
тара WF-64-P1JH-4912 Акустический,тара WF-64-P1JH-4912 ,1
клещи 5H-24-KJJR-1110 Кибернетический,клещи D7-08-4WX6-0586 Кибернетический,0
ключ PG-75-HBL5-5982 Телекоммуникационный,ключ K4-92-89F4-5692 Телекоммуникационный,0
дырокол G5-23-EI70-3675 Нанотехнологический,гидростатика G5-23-EI70-3675 ,1
шкала ZB-92-UP1X-7537 Телекоммуникационный,гидростатика ZB-92-UP1X-7537 Сверхпроводящий,1
жесткость 4Z-74-IS2O-4002 Безопасностный,жесткость 80-50-ZEXN-8855 Безопасностный,0
субкультура Q6-34-33P4-6379 ,субкультура Q6-34933P4-6379 ,0
пилка IM-26-64LP-2060 ,пилка IM-26-64L9-2060 ,0
клещи 5Q-18-S7FA-1552 ,клещи 5Q-18-S2FA-1552 ,0
холодильник 5N-60-NCV2-8194 ,холодильник 5N-60-1CV2-8194 ,0
крюки RA-07-YR35-9182 Электрический,переименование RA-07-YR35-9182 ,1
гидрамеханика M2-70-JSTH-8189 Тепловой,гидрамеханика NR-82-PG0G-2145 Тепловой,0
каталогизация UW-92-JVIN-8152 Электрический,имитация UW-92-JVIN-8152 ,1
бита XC-49-ZFU2-0462 ,бита QH-97-PFYS-6678 ,0
двутавр 8Y-31-CO7O-0022 Пневматический,стамеска 8Y-31-CO7O-0022 ,1
струновка IB-90-T7I7-8096 ,струновка IB-90-T7I8-8096 ,0
пульсометр TI-86-P0M0-5040 ,пульсометр VR-38-27D6-0870 ,0
симуляция 8Q-86-Q57L-9429 Фотографический,пассатижи 8Q-86-Q57L-9429 ,1
холодильник X7-07-Q1UM-6521 ,холодильник WH-74-8XN9-6714 ,0
электродвигатель 7U-44-KCJA-7657 Металлургический,цилиндр 7U-44-KCJA-7657 Гравитационный,1
пила NX-62-2PXE-0070 Гальванический,градусник NX-62-2PXE-0070 Электрический,1
доска WT-75-XIHS-3287 ,доска WT-25-XIHS-3287 ,0
настой ZN-52-FZL7-0992 ,настой F1-23-X7M9-2239 ,0
щетка QN-71-IJDR-3719 Вибрационный,щетка QN-71-IJDR-3819 Вибрационный,0
аргон 8J-54-K5O2-1139 Химический,жесткость 8J-54-K5O2-1139 ,1
двутавр 8L-34-K3YP-0020 ,фильтр 8L-34-K3YP-0020 ,1
вал 2R-03-NA1T-9330 Гидравлический,вал 5H-71-O3IE-4571 Гидравлический,0
гвоздодер 3F-58-S5SC-2127 Газодинамический,фонарь 3F-58-S5SC-2127 ,1
анализатор JF-80-XNBO-3036 ,анализатор JF-80-X3BO-3036 ,0
аналитика W7-49-BJ21-2400 ,аналитика 8Y-56-5HSJ-5004 ,0
полумесяц 3T-76-I4C5-5188 ,полумесяц W2-95-SIBX-4898 ,0
электродвигатель 4R-25-ZX7Q-6713 Регулирующий,фильтр 4R-25-ZX7Q-6713 ,1
шуруповерт YI-72-DMX9-0567 Электрический,струновка YI-72-DMX9-0567 ,1
молоток 18-97-4A3D-1494 ,молоток V5-57-F8K8-0492 ,0
такометр HQ-30-V0XV-4264 ,такометр KK-09-VK44-3899 ,0
холодильник SA-26-4EMP-8431 Химический,клещ SA-26-4EMP-8431 Радиолокационный,0
клещ 4S-11-GLDW-1313 ,клещ JR-76-7J6B-0204 ,0
имитация CY-64-NBCK-2814 Метрологический,фонарь CY-64-NBCK-2814 ,1
тренога WL-23-K9WV-3148 Проектировочный,стамеска WL-23-K9WV-3148 ,1
трапеция YY-67-CVZ8-1609 ,трапеция 43-09-127L-1923 ,0
щетка X8-84-WX71-5232 Гальванический,щетка X8-84-WX71-5232 Акустический,1
последовательность F9-61-5QAB-7887 Микробиологический,отвертка F9-61-5QAB-7887 Эргономический,1
молоток 0R-07-RFPE-4531 Силовой,молоток 0R-07-RFPE-4531 ,1
моделирование MX-84-EG67-1330 ,моделирование MX-84-EG67-9330 ,0
молоток SX-41-3OQB-3450 Архитектурный,молоток SX-41-3OQB-3450 Архитектурный,1
программатор L7-72-TOXU-9535 Энергетический,программатор L7-72-TOXU-9535 ,1
тисочки RF-07-FF1N-4007 Криогенный,тисочки RF-07-FF1N-4007 ,1
клещи 8B-19-NIF4-8158 Робототехнический,клещи 8B-192NIF4-8158 Робототехнический,0
катушка IV-80-LYJ1-4503 Кинематический,гидрамеханика IV-80-LYJ1-4503 Кинематический,1
нож 3V-74-8WUY-6716 ,нож A4-69-XHS1-4805 ,1
шкала PX-02-D0DS-3061 ,шкала PX-02-D0DS-3041 ,0
такометр IU-88-E2TD-4726 Исследовательский,энтузиазм IU-88-E2TD-4726 ,1
пилка GM-47-E8M5-6368 Силовой,пилка GM647-E8M5-6368 Фотографический,0
тент BA-27-724U-1711 Архитектурный,тент BA-27-724U-1711 Полупроводниковый,1
симуляция TE-71-0FSQ-0591 ,симуляция T6-55-KUA3-8334 ,0
аттестация K6-86-WBML-1866 Кинематический,электросверло K6-86-WBML-1866 ,1
проточка U7-95-A9VW-2634 Микробиологический,гирокомпас U7-95-A9VW-2634 Акустический,1
клещи XQ-71-LD4B-6180 ,клещи BH-22-43NA-6457 ,0
переименование DX-85-6EMN-5958 ,переименование A7-87-4FSQ-2560 ,0
опробование A4-03-GLF3-6268 Механический,опробование A4-03-GLF3-6268 ,1
дырокол A4-52-Z5ZK-4771 ,дырокол A4-52-Z59K-4771 ,0
паста SU-06-ZYU3-1841 ,паста 6U-06-ZYU3-1841 ,0
катушка MH-20-071D-2811 Автоматический,станция MH-20-071D-2811 Автоматический,1
игла U1-76-YGJR-6471 ,игла JF-15-7BNH-5182 ,0
градусник LQ-45-IIEN-6523 ,градусник WI-01-7G34-0138 ,0
паяльник 2V-04-WEKO-2844 Термический,паяльник K1-00-55G8-3070 Термический,0
градусник QH-99-WPR0-6790 Экологический,градусник 8B-69-72PB-8058 Экологический,0
вихрь UH-26-TDBV-9021 ,вихрь 3L-09-83L7-1578 ,0
анализатор ZT-97-Q7PE-4491 Полупроводниковый,каталогизация ZT-97-Q7PE-4491 Металлургический,1
врезка GJ-92-Z345-0597 ,врезка TV-39-ILQE-6038 ,0
крестовина QS-77-LVK4-8411 Робототехнический,крестовина WI-44-N04U-7026 Робототехнический,0
шкала Y1-64-RJVR-3790 ,шкала Y4-64-RJVR-3790 ,0
молоток Z1-92-WAWG-6366 Радиотехнический,молоток Z1-96-WAWG-6366 ,0
крюки J7-93-GWEG-2834 Радиочастотный,врезка J7-93-GWEG-2834 Исследовательский,1
врезка GX-71-L2PT-2819 ,врезка 7L-92-JAND-8725 ,0
тара YA-48-2Z3Y-7017 Термический,тара YA-48-2Z3Y-7017 ,1
фильтр DZ-53-ID70-9807 Вибрационный,фильтр DZ-531ID70-9807 ,0
крестовина 6Z-67-C5B5-2701 ,крестовина AR-28-AGTC-8520 ,0
отвертка MB-48-JY0L-4182 ,отвертка MB-48-0Y0L-4182 ,0
якорь Z9-92-S3HA-0526 Робототехнический,переименование Z9-92-S3HA-0526 ,1
турбулентность YQ-13-CWQF-1697 Гравитационный,турбулентность YQ-13-CWQF-1697 Конструктивный,1
датчик 0J-53-4XKA-5595 Робототехнический,датчик UN-76-DG9U-3911 Робототехнический,0
настой SR-32-27X9-2313 Радиотехнический,настой SR-32-27X9-2313 Тепловой,1
тренога CI-13-ZTLK-0897 Механический,градусник CI-13-ZTLK-0897 ,1
ассоциация 2Z-45-DGES-2085 Управляющий,проточка 2Z-45-DGES-2085 Металлургический,1
станция GI-19-WZJE-4667 Лазерный,холодильник GI-19-WZJE-4667 Гальванический,1
аттестация PF-81-FQNO-5402 Регулирующий,аттестация PF-813FQNO-5402 Регулирующий,0
тент 8Q-35-U6O6-4977 ,тент 8Q-35-U6O1-4977 ,0
детектор VM-05-ON8J-7788 Исследовательский,субкультура VM-05-ON8J-7788 ,1
симуляция XC-36-BFFZ-0044 ,симуляция OB-16-VJ5I-8828 ,0
диспергирование ZN-88-ZHRW-8683 ,тренога ZN-88-ZHRW-8683 ,0
краскопульт G3-37-9DCQ-8925 Нанотехнологический,краскопульт G3-37-9DCQ-8925 ,1
циркуль UJ-99-C5ZC-7914 Безопасностный,циркуль UJ-29-C5ZC-7914 Безопасностный,0
клепка IH-69-QNM2-3515 Технический,клепка HV-68-E9E1-7170 ,0
структурирование KI-80-LOC5-7475 ,структурирование XN-39-1QY5-9859 ,0
паяльник JH-57-LWMN-7343 ,паяльник TR-86-DG6W-2426 ,0
антенна CN-64-X7G6-9498 Гидравлический,антенна 5S-74-WS73-4280 Гидравлический,0
тисочки Q3-81-B2U0-2527 Гальванический,тисочки JB-22-R04C-8629 Гальванический,0
аргон CW-07-JO4O-5055 Радиотехнический,аргон CW-07-JO4O-5055 Радиолокационный,1
спарка MG-66-7IV1-0402 Экологический,тренога MG-66-7IV1-0402 ,1
проточка NN-81-L0QX-0093 Газодинамический,турбулентность NN-81-L0QX-0093 ,1
структурирование OR-95-6P65-2914 Химический,структурирование U9-05-HAOM-3659 Химический,0
водоснабжение 23-82-P3PX-3482 Термический,водоснабжение 23-82-P3PX-3482 Биотехнологический,1
краскопульт O3-11-0LN2-2538 ,краскопульт O3-16-0LN2-2538 ,0
крюки CI-67-4IIC-3579 Радиолокационный,фонарь CI-67-4IIC-3579 Акустический,1
термометр WW-59-JF00-4955 ,рулетка WW-59-JF00-4955 ,1
отвертка TS-57-5II3-5553 ,отвертка TS-57-5II3-5353 ,0
станция C7-60-MENW-0993 ,станция N9-88-759O-9731 ,0
струновка LT-64-I9JL-5713 Геотехнический,градусник LT-64-I9JL-5713 ,1
щетка Y5-81-U7PI-2396 Лазерный,щетка Y5-81-U7PI-4396 ,1
рулетка DT-75-P8OQ-8030 Гидравлический,двутавр DT-75-P8OQ-8030 ,1
аргон 5A-03-XD7G-7667 ,нож 5A-03-XD7G-7667 ,1
паста UV-36-0ABT-3755 ,паста TL-63-N0EU-4404 ,0
пульсометр MP-86-P9ZM-5380 Архитектурный,пульсометр SH-67-I5Y1-5337 Архитектурный,0
проточка 1K-69-XY9S-7367 Энергетический,расчет 1K-69-XY9S-7367 Радиотехнический,1
тара 9P-83-GZRR-2495 ,тара 4D-59-RLWZ-3218 ,0
настой 32-77-7T6H-2932 Исследовательский,гвоздодер 32-77-7T6H-2932 ,1
пилка 37-74-QSGV-5319 Геотехнический,пассатижи 37-74-QSGV-5319 ,1
опробование TG-82-3T4B-1599 Энергетический,опробование TG-82-3T4B-1599 ,1
ключ XC-03-XJQY-1695 Микробиологический,аппаратура XC-03-XJQY-1695 ,1
опробование JC-56-RSP3-0461 Проектировочный,спарка JC-56-RSP3-0361 Проектировочный,0
доска A1-50-PAWT-9544 ,доска A1-20-PAWT-9544 ,0
темномер AO-11-0Q1L-1682 ,темномер XO-62-X9QN-8147 ,0
шпатель 94-81-V1RX-7749 Пневматический,пилка 94-81-V1RX-7749 Биотехнологический,1
переименование TH-75-5Q93-7616 Радиотехнический,переименование TH-75-5Q93-7616 ,1
игла Z1-41-7LCY-8401 Безопасностный,аргон Z1-41-7LCY-8401 ,1
оружие X7-62-9OYB-3478 Радиолокационный,настой X7-62-9OYB-3478 ,1
тисочки ZG-32-OU9V-7597 Кибернетический,клещи ZG-32-OU9V-7597 ,1
краскопульт NX-45-DST0-3362 ,краскопульт AZ-13-DUMO-8484 ,0
кисточка W4-64-9RQR-3609 Электрический,спарка W4-64-9RQR-3609 Фотографический,1
тренога 5M-18-8WI6-0072 Кибернетический,игла 5M-18-8WI6-0072 ,1
эксперимент 2D-92-2DLY-1355 ,эксперимент 2D-92-2D7Y-1355 ,0
электросверло WD-57-QKEU-7338 ,электросверло WD-57-0KEU-7338 ,1
опробование T4-67-XH8D-4936 ,опробование BK-16-4NFP-4822 ,0
фонарь I2-30-55WY-6522 ,фонарь I2-30-559Y-6522 ,0
тисочки RL-78-P80H-3083 Аэродинамический,лента RL-78-P80H-3083 Метрологический,1
амортизация SZ-01-79GJ-7532 Металлургический,амортизация Z0-82-BC5A-2581 Металлургический,0
врезка QE-53-6A8Z-2255 Силовой,полумесяц QE-53-6A8Z-2255 ,0
клещи 2G-66-QLZS-4910 ,клещи 23-66-QLZS-4910 ,1
идеализация KW-03-KL63-7302 ,нож KW-03-K463-7302 ,1
гвоздодер 2G-85-38OU-7030 ,идеализация 2G-85-38OU-7030 ,1
термометр RB-22-DDFF-0003 ,термометр QI-45-MRL4-1689 ,0
гидростатика XB-91-VHQU-6683 Химический,гидростатика 38-43-HSLA-6835 Химический,0
фильтр CB-61-P7H9-6266 ,фильтр CB-63-P7H9-6266 ,0
молоток T9-50-EOBN-4792 Оптический,молоток T9-60-EOBN-4792 Оптический,0
проточка 4C-75-UJJJ-2079 Аэродинамический,молоток 4C-75-UJJJ-2079 ,1
плоскогубцы VI-77-YCO5-2391 Телекоммуникационный,катушка VI-77-YCO5-2391 ,1
лагерь SN-66-VGCY-2476 Силовой,полумесяц SN-66-VGCY-2476 ,1
программатор IM-59-HSU7-8175 ,программатор IM-79-HSU7-8175 ,0
вихрь BW-55-0KOO-4877 ,вихрь BW-55-0KOO-7877 ,0
ключ 39-59-933Y-9511 Сверхпроводящий,нож 39-59-933Y-9511 ,1
цанга 1R-84-RJIO-4597 ,цанга F5-94-DY8U-7947 ,0
холодильник 2N-84-OZGE-7519 Металлургический,холодильник ZV-92-JFSS-4905 Металлургический,0
гидростатика Q4-35-YSWT-2392 Гравитационный,пилка Q4-35-YSWT-2392 ,1
оврископ IG-43-6XX9-5195 Вибрационный,оврископ IG-43-6XX9-5195 ,1
аттестация 4X-26-YIKS-7205 Конструктивный,моделирование 4X-26-YIKS-7205 ,1
градусник 3K-33-8Z7A-7706 ,градусник 3K-3388Z7A-7706 ,0
ассоциация KU-94-HE20-6175 ,ассоциация GF-99-3IC8-9797 ,0
структурирование QW-28-ZFRL-0793 Биотехнологический,рулетка QW-28-ZFRL-0793 ,1
паста UC-52-4O30-0951 Робототехнический,паста D1-54-6H41-9369 ,0
циркуль 5M-99-A8A9-9237 Металлургический,циркуль 3N-31-D7LJ-5713 Компьютерный,0
электросверло Q3-23-HW2E-3222 ,электросверло 23-23-HW2E-3222 ,1
врезка YO-51-RLMS-3538 Химический,жесткость YO-51-RLMS-3538 ,1
настой 49-63-XRD8-7972 Биомедицинский,доска 49-63-XRD8-7972 Биомедицинский,1
нож O9-92-OG1C-2131 Микробиологический,амортизация O9-92-OG1C-2131 Химический,1
вихрь 5O-91-QH53-4437 Ядерный,вихрь 5O-91-QH53-4477 Ядерный,0
идеализация VV-06-A0G6-7650 ,идеализация VV-06-A0G6-7660 ,0
аналитика RB-01-T9LH-1684 Энергетический,структурирование RB-01-T9LH-1684 Исследовательский,1
гирокомпас LN-00-S0LU-3048 Фотографический,гирокомпас LN-03-S0LU-3048 Фотографический,0
фонарь RV-90-UJAZ-4777 Аэродинамический,фонарь RV-92-UJAZ-4777 ,0
плоскогубцы VQ-90-B7N1-1421 Химический,плоскогубцы G1-81-JZM5-1363 ,0
компрессор D6-52-X2OF-5044 Тепловой,аналитика D6-52-X2OF-5044 ,1
клещ IK-23-ZJH9-5079 ,клещ IK-23-3JH9-5079 ,0
рельс AN-12-QJM4-9093 ,рельс RG-68-QFLW-3006 ,0
уровень 8N-07-E9LS-5209 ,уровень 8N-07-E9L8-5209 ,0
тара HV-79-CE4N-3981 ,тара B9-04-Z17T-2751 ,0
тара UL-17-VBON-6975 ,тара SS-64-GJM6-1580 ,0
клепка UX-13-IJGC-5678 Эргономический,клепка UX-13-IJGC-5678 Фотографический,1
олово GU-91-KDJ3-9300 ,клещ GU-91-KDJ3-9300 ,1
сварка AY-60-7Q1X-0839 Гравитационный,сварка A3-60-7Q1X-0839 Гравитационный,0
гвоздодер O2-78-UAHA-1302 Сверхпроводящий,гидростатика O2-78-UAHA-1302 ,1
детектор 12-12-11LE-5978 ,детектор BJ-63-7UBR-0955 ,0
двутавр S1-98-2H1V-5437 Радиочастотный,двутавр S1-98-1H1V-5437 Радиочастотный,0
датчик G2-96-32XR-2587 Пневматический,датчик G2-96-32XR-0587 Пневматический,0
ассоциация W3-99-2MO0-8446 ,ассоциация W3-99-9MO0-8446 ,0
идеализация Y8-14-YLHL-9284 ,идеализация Y8-14-YLHL-9984 ,0
симуляция IS-11-ZXC9-1608 Оптический,симуляция IS-11-ZXC9-1608 ,1
