Исходные данные,Референс,Классификатор
уровень BJ-50-EM1G-8959 Сверхпроводящий,уровень BJ-501EM1G-8959 Сверхпроводящий,0
крюки 4C-02-2ITO-2693 Химический,крюки 4C-02-2ITO-2693 ,1
цилиндр JW-60-AF68-7838 ,цилиндр 6W-60-AF68-7838 ,0
последовательность EL-75-VA1Z-4065 ,последовательность EL-753VA1Z-4065 ,0
якорь VW-04-NHOQ-3347 Конструктивный,якорь VW-04-NHOQ-3347 ,1
трапеция 3X-93-ORX0-0400 Радиочастотный,трапеция 3X-93-ORX0-0400 ,1
игла FF-83-RM1U-3650 Тепловой,цанга FF-83-RM1U-3650 ,1
шуруповерт WL-35-HO5L-1526 Биомедицинский,аналитика WL-35-HO5L-1526 ,1
субкультура 6V-13-TLZH-8618 Исследовательский,аналитика 6V-13-TLZH-8618 Тепловой,1
кисточка CU-61-KPWO-5140 ,кисточка R4-70-KB7T-0777 ,0
аналитика T4-06-E2V6-6340 Тепловой,рычаг T4-06-E2V6-6340 Генетический,1
двутавр M0-64-3FTN-3899 Металлургический,дырокол M0-64-3FTN-3899 Метрологический,1
молоток G6-40-19UW-1193 ,молоток G8-40-19UW-1193 ,0
аргон 4T-18-2RGX-8292 Радиолокационный,симуляция 4Z-80-9Y3M-0474 Телекоммуникационный,0
струновка 52-89-P0T4-6927 ,струновка 52-89-P3T4-6927 ,0
полумесяц BT-63-S7MA-5152 Акустический,двигатель BT-63-S7MA-5152 ,1
датчик 02-91-4CZI-6872 ,датчик MD-52-7G6B-9859 ,0
нож B6-92-KAB5-0906 Кибернетический,расчет B6-92-KAB5-0906 Кинематический,1
фильтр 9S-48-34Z7-9945 ,фильтр 3S-48-34Z7-9945 ,0
электродвигатель P4-36-UYV0-4952 Экологический,станция P4-36-UYV0-4952 Экологический,1
кисточка WL-88-7YMC-3233 Термический,рычаг WL-88-7YMC-3233 Силовой,1
двигатель S2-50-KU1V-9361 Акустический,плоскогубцы S2-50-KU1V-9361 ,1
нож MV-74-EJS7-4822 Технический,гвоздодер MV-74-EJS7-4822 ,1
энтузиазм Y1-69-Z5JK-9235 Радиолокационный,шкала Y1-69-Z5JK-9235 ,1
структурирование WF-31-K92I-8929 ,структурирование PU-60-D8KD-9594 ,0
нож 8O-95-ZXET-5653 ,нож MK-71-O586-5516 ,0
тент VI-64-KDED-7943 ,переименование 3I-64-KDED-7943 ,0
водоснабжение E5-83-B4EB-8045 ,водоснабжение E5-83-B4EB-0045 ,0
анализатор RK-93-9DQR-9887 ,анализатор 3P-99-EALA-1401 ,0
крестовина YA-90-861F-2181 Телекоммуникационный,отвертка YA-90-861F-2181 ,1
проточка 9G-67-D2UP-1844 Архитектурный,циркуль 9G-67-D2UP-1844 Архитектурный,1
пассатижи 9X-15-4LOE-3954 Химический,оружие 9X-15-4LOE-3954 ,1
холодильник Q6-92-C398-2578 Робототехнический,холодильник Q6-12-C398-2578 Робототехнический,0
оружие 1B-54-6FWO-9916 ,уровень 1B-54-6FWO-9916 ,1
эксперимент WU-73-4HDH-9043 Полупроводниковый,эксперимент WU-73-4HDH-9043 ,1
олово 97-76-5750-7432 ,олово 97-76-5750-7632 ,0
аргон M2-18-2DEU-0188 ,аргон M2-13-2DEU-0188 ,0
датчик 9L-16-OKL4-0298 ,датчик YM-41-6UQ5-8388 ,0
моделирование TS-56-3AZZ-9174 ,моделирование KB-29-7LPN-7267 ,0
такометр 4Q-69-AYB0-8867 Технический,шуруповерт 0Q-69-AYB0-8867 Технический,0
клепка H5-95-J0JS-0297 Гравитационный,клепка H5-95-J0JS-0297 ,1
имитация KD-65-D5E8-9959 ,дырокол KD-65-D5E8-9959 ,1
тиски 07-43-5ZOP-6394 Архитектурный,идеализация 07-43-5ZOP-6394 Безопасностный,1
нож WR-86-5HDT-4576 ,нож VH-19-9E0B-1019 ,0
врезка ZG-70-CQCM-1270 Микробиологический,детектор ZG-70-CQCM-1270 ,1
щетка O0-58-P69O-3836 ,щетка BU-50-IUI6-9708 ,0
олово A2-10-U9BN-7853 Безопасностный,крестовина A2-10-U9BN-7853 ,1
тисочки JD-39-1WIK-9377 Метрологический,тисочки JD-39-1WIK-9377 ,1
термометр MA-62-S2W1-9862 ,термометр I1-21-9891-7792 ,0
структурирование FJ-75-9Y4W-2751 ,структурирование 9V-03-OJOM-5731 ,0
вихрь T3-17-XL7F-0820 Термический,вихрь T3-17-XL7F-0820 ,1
эксперимент ZG-40-S0X8-5055 Гравитационный,эксперимент ZG-40-S0X1-5055 Гравитационный,0
трапеция DA-88-JLLK-7606 ,трапеция D2-88-JLLK-7606 ,0
идеализация RG-57-NPA6-8445 Гидравлический,молоток RG-57-NPA6-8445 ,1
гирокомпас IG-31-U6OD-7315 Криогенный,гирокомпас 85-69-9FRS-4143 Криогенный,0
проточка 7F-42-ZY78-0437 Кинематический,электродвигатель 7F-42-ZY78-0437 ,1
турбулентность 8S-87-7QH9-2915 ,турбулентность WJ-19-9GJ7-6811 ,0
реостат 22-48-Y9JP-3134 ,реостат 9S-72-H0BI-8049 ,0
клещи PA-89-RHV4-4929 Исследовательский,клещи W4-52-YDBR-6045 Исследовательский,0
крюки FJ-87-AUOO-6614 Экологический,аргон FJ-87-AUOO-6614 Химический,1
гидростатика F3-72-7OP3-9039 ,гидростатика 8E-75-BZIG-2453 ,0
лагерь 5A-18-8D1D-2823 ,лагерь 5A-11-8D1D-2823 ,0
последовательность KT-20-UE2X-6961 Технический,крестовина KT-20-UE2X-6961 Энергетический,1
вихрь 5U-41-TJ0E-2467 ,вихрь 5U-410TJ0E-2467 ,0
сварка WV-13-XAJD-1887 ,сварка WV-13-XAJD-1187 ,0
лагерь RT-49-BI7I-0640 Сверхпроводящий,лагерь FK-20-TEJ4-0102 ,0
паста BF-86-WNDI-9414 ,паста SB-24-9ORO-7448 ,0
щетка 3B-52-HYZH-5746 Сверхпроводящий,оврископ 3B-52-HYZH-5746 ,1
детектор NL-39-CUQG-9041 Механический,детектор NL-99-CUQG-9041 Механический,0
струновка 6P-33-5IS8-4949 ,струновка 6P-93-5IS8-4949 ,0
бита W2-99-PFKI-8245 Микробиологический,аргон W2-99-PFKI-8245 ,1
игла R6-20-G1WN-4586 Криогенный,турбулентность R6-20-G1WN-4586 ,1
пассатижи T5-46-YFVW-5593 Ядерный,антенна T5-46-YFVW-5593 ,1
опробование CS-13-U9AD-7877 Безопасностный,опробование CS-13-U9AD-7877 ,1
нож DG-46-V1TF-2178 Энергетический,водоснабжение DG-46-V1TF-2178 Вибрационный,1
двутавр JY-05-FBRR-1766 Архитектурный,двутавр E7-14-MWIW-3927 Архитектурный,0
клапан 7H-74-60UF-9443 ,клапан CB-73-8UA6-9686 ,0
лента XH-58-WERB-5260 ,рулетка XH-57-WERB-5260 ,0
нож T0-46-Z21H-6215 Телекоммуникационный,нож BN-54-WKGZ-3042 Телекоммуникационный,0
такометр GZ-64-RDI1-1477 Безопасностный,циркуль GZ-64-RDI1-1477 ,1
холодильник VZ-22-HBCV-4529 ,холодильник VZ-22-HBCV84529 ,0
ключ SB-70-59ZS-2430 ,циркуль SB-70-59ZS-2430 ,1
кисточка UL-46-K9JO-0390 Радиолокационный,кисточка UL846-K9JO-0390 Радиолокационный,0
водоснабжение WF-70-1YAV-7910 ,водоснабжение WF-70-1Y6V-7910 ,0
структурирование YE-54-F99A-1304 Гидравлический,структурирование YE-54-F99A-1304 ,1
краскопульт YY-77-X5ZH-1617 Гравитационный,краскопульт YY-77-X5ZH-1617 ,1
нож W7-16-V9X3-4922 Метрологический,нож BA-15-7NV1-2751 Метрологический,0
паста 8O-34-QDL4-0091 ,паста 8O-34-QDL4-5091 ,0
пила 1E-94-CFA6-3359 ,пила F9-28-HDJO-7157 ,0
отвертка 4T-96-14K3-3682 Фотографический,кисточка 4T-96-14K3-3682 Регулирующий,1
паста 7L-00-ZF6D-1211 Эргономический,лента 7L-00-ZF6D-1211 Эргономический,1
гирокомпас 9V-43-XB03-3215 Радиолокационный,дырокол 9V-43-XB03-3215 ,1
оружие FE-23-EZ7S-5396 Телекоммуникационный,циркуль FE-23-EZ7S-5396 Проектировочный,1
щетка IX-49-NSXJ-1864 Микробиологический,спарка IX-49-NSXJ-1864 ,1
лента 7O-23-4S7E-6633 ,лента 7O-23-4S7E46633 ,0
тара WL-25-A62I-2159 ,тара W4-25-A62I-2159 ,0
реостат 47-37-CF5M-8498 Ядерный,струновка 47-37-CF5M-8498 ,1
двутавр 1I-36-0G36-6405 Биотехнологический,переименование 1I-36-0G36-6405 Кибернетический,1
шпатель Z8-11-EGD3-0809 ,шпатель Z8011-EGD3-0809 ,0
тисочки 0X-39-DS0K-3333 Эргономический,тисочки 0X-39-3S0K-3333 Эргономический,0
термометр VT-40-6R62-7578 Эргономический,моделирование VT-40-6R62-7578 ,1
идеализация KM-90-AQXU-0408 Тепловой,идеализация BA-56-U82W-2424 Тепловой,0
темномер N2-89-68AE-9380 ,темномер YP-40-TX6F-7172 ,0
цанга EB-19-BDS3-4110 Кинематический,цанга 0I-84-Z0AM-8185 Кинематический,0
аппаратура VF-47-XUNK-8939 ,аппаратура VF147-XUNK-8939 ,0
олово 0R-42-0Q1B-0354 ,олово 0R-42-0Q1B-0354 ,1
стамеска H1-56-ZIBJ-0553 Радиотехнический,пульсометр H1-56-ZIBJ-0553 Гидравлический,1
станция LN-92-A4QH-8223 ,станция VS-98-Y9ZY-1116 ,0
спарка UH-15-J73F-8985 Радиочастотный,фильтр UH-15-J73F-8985 ,1
настой ZQ-01-8EA3-0423 ,настой ZQ-04-8EA3-0423 ,0
турбулентность LS-34-ZLWK-3071 ,турбулентность 13-29-21YP-5874 ,0
рулетка WK-06-6RUL-4691 Регулирующий,клепка WK-06-6RUL-4691 ,1
паяльник K1-99-6TE3-3569 ,паяльник K1-99-6TE3-9569 ,0
бита X0-32-S8QX-5547 Пневматический,бита X0-32-S8Q2-5547 Пневматический,0
антенна YA-01-1HZI-6291 ,антенна OT-45-INJ1-3702 ,0
водоснабжение OJ-91-WCXH-9940 ,водоснабжение OJ-91-WCX4-9940 ,0
пассатижи JF-87-L0PM-8939 ,пассатижи FX-27-37AI-4381 ,0
клещи X1-88-I9FH-0884 Акустический,крестовина X1-88-I9FH-0884 ,1
пилка LE-67-L2TS-1065 Радиочастотный,аттестация LE-67-L2TS-1065 ,1
уровень 4U-03-M55Z-0965 ,уровень OR-75-JZ6V-4231 ,0
игла O7-65-QUEI-6257 Конструктивный,компрессор O7-65-QUEI-6257 Лазерный,1
сварка WC-13-QF60-8722 Гальванический,ассоциация WC-13-QF60-8722 Эргономический,1
имитация TX-61-F52N-2668 Генетический,имитация TX-61-F52N-2658 Генетический,0
лента PD-22-UY9H-2413 Химический,лента PD-22-5Y9H-2413 ,0
нож L3-75-TTS8-8165 ,нож WV-78-YVY2-9522 ,0
водоснабжение EZ-61-TPZW-2076 ,водоснабжение 3Z-61-TPZW-2076 ,0
гидростатика US-31-G9M1-8080 ,гидростатика US-31-G951-8080 ,0
программатор JY-88-B57Z-7592 Ядерный,шкала JY-88-B57Z-7592 Ядерный,1
лагерь X5-58-PFF5-9606 Регулирующий,расчет X5-58-PFF5-9606 Термический,1
трапеция 1R-92-TJ4P-0649 Исследовательский,трапеция WB-60-8WF9-1241 Исследовательский,0
субкультура GC-70-73WW-9682 Полупроводниковый,гвоздодер GC-70-73WW-9682 ,1
клепка S0-71-2XJ8-9346 ,клепка 5T-05-YZEE-8992 ,0
вихрь 8Y-16-3Q4V-9910 Электрический,гидрамеханика 8Y-16-3Q4V-9910 Электрический,1
опробование FK-56-CQV0-6887 Метрологический,опробование 76-68-OZ9B-9179 Метрологический,0
ассоциация TA-67-LNEX-8378 Механический,водоснабжение TA-67-LNEX-8378 Кинематический,1
пульсометр DG-90-97QX-0493 ,пульсометр F6-62-WVE8-7025 ,0
имитация 2L-20-IZWE-0353 ,кисточка 2L-20-IZWE-0353 ,1
пила PF-37-5FHB-8542 ,пила D0-52-WH6L-0525 ,0
пассатижи PA-73-VO3A-6055 Экологический,пассатижи PA-73-VO3A-6055 ,1
вал Z4-35-4PH4-9228 ,вал 69-44-OQ67-5573 ,0
диспергирование JK-25-XU78-2114 ,диспергирование BR-62-21K2-5262 ,0
врезка E4-33-EI6D-8108 Генетический,шуруповерт E4-33-EI6D-8108 ,1
полумесяц 8A-89-WHQX-6472 Пневматический,полумесяц 8A589-WHQX-6472 Пневматический,0
гидрамеханика 8E-84-AA55-1294 ,гидрамеханика 8E384-AA55-1294 ,0
паста DS-51-GX3J-9998 ,паста XJ-86-NIP4-1453 ,0
гирокомпас 3X-54-VYV4-5548 Аэродинамический,клапан 3X-54-VYV4-5548 ,1
ключ 43-85-TQN1-3787 ,ключ 43-80-TQN1-3787 ,0
жесткость 1Y-72-R9PI-4304 ,жесткость VQ-98-NZQV-2968 ,0
шпатель EC-27-NTOS-1880 Безопасностный,шпатель 7M-16-SMJ5-5543 Безопасностный,0
вал NS-50-N0PY-6953 Металлургический,каталогизация NS-50-N0PY-6953 ,1
бита NW-40-37K6-3598 Компьютерный,якорь NW-40-37K6-3598 ,1
идеализация G5-60-LJ31-6131 ,идеализация T1-52-EEL7-6474 ,0
тисочки RC-67-VFOG-9243 Фотографический,тисочки RC-67-VFOG-9243 ,1
лагерь G5-72-NA7Q-7922 ,лагерь 05-72-NA7Q-7922 ,0
двигатель YE-35-219F-7553 Автоматический,стамеска YE-35-219F-7553 Автоматический,1
паста AQ-05-DQRL-4643 Тепловой,оружие AQ-05-DQRL-4643 ,1
электродвигатель LS-10-RZ5G-7906 ,электродвигатель LS-11-RZ5G-7906 ,0
пилка EU-57-BR7B-2529 ,аргон EU-57-BR7B-2529 ,1
двутавр EH-30-79I2-1602 ,фонарь EH-30-79I2-1602 ,1
анализатор Y6-52-Q1K1-6731 ,анализатор 23-96-AWIT-2606 ,0
датчик FX-43-TJUH-0457 Архитектурный,антенна FX-43-TJUH-0457 ,1
проточка O1-64-5P9F-4195 Кинематический,компрессор O1-64-5P9F-4195 Пневматический,1
игла BK-87-RQ8Z-5481 Гальванический,игла WN-22-6I1X-8834 Гальванический,0
бита QF-66-6ACH-4256 Управляющий,бита QF-66-6ACH-4256 ,1
плоскогубцы B2-83-KDUN-5470 ,плоскогубцы B2-83-KDUN-5440 ,0
последовательность V1-10-DCFH-6143 Телекоммуникационный,симуляция V1-10-DCFH-6143 ,1
дырокол Y3-97-DVIK-9890 Тепловой,дырокол Y3-97-DVIK-9890 ,1
вихрь UG-05-XNHS-4054 ,вихрь U4-36-W0TG-8446 ,0
рычаг RW-28-PPFH-8403 Газодинамический,паяльник RW-28-PPFH-8403 ,1
ассоциация ZN-36-OZ2V-7712 ,ассоциация LD-94-7Z84-9510 ,0
турбулентность H7-21-5W1V-7847 Биомедицинский,якорь H7-21-5W1V-7847 ,1
амортизация GQ-06-5AJJ-8844 ,амортизация GQ-06-5AJJ-8744 ,0
структурирование 3D-16-E7F2-7058 ,структурирование G4-98-62H0-7574 ,0
фонарь CW-44-DN9K-8495 Микробиологический,фонарь CW-94-DN9K-8495 Микробиологический,0
аттестация VP-63-NYCW-3593 ,аттестация VP-63-0YCW-3593 ,0
реостат MX-35-REBK-4987 Термический,реостат WU-37-L3KW-4434 ,0
пилка G7-69-9I51-7006 Робототехнический,электросверло G7-69-9I51-7006 ,1
краскопульт J1-73-42V0-1026 Расчетный,краскопульт Y8-88-G97E-8932 Расчетный,0
моделирование I2-43-ET6Z-2462 Геотехнический,двигатель I2-43-ET6Z-2462 Лазерный,1
клапан R0-90-QFZU-9979 ,крюки R0-90-QFZU-9979 ,1
пила GU-65-KLGN-1296 ,пила GU865-KLGN-1296 ,0
фонарь NM-96-SYKS-3758 Оптический,фонарь TQ-45-I0PI-0297 Оптический,0
двигатель KQ-42-D179-5805 Микробиологический,двигатель B6-78-J1RT-0962 Микробиологический,0
крестовина MT-78-T4LE-9878 Оптический,крестовина MT-78-T4LE-9878 ,1
эксперимент HK-87-PCG9-8689 ,эксперимент DK-15-F865-9656 ,0
двигатель Y3-13-0ET7-1522 ,двигатель I1-61-2ZXP-6427 ,0
тент 2M-29-QFF7-9688 Нанотехнологический,тент 2M-29-QFF7-9698 Нанотехнологический,0
гирокомпас H7-27-YQ6H-9842 Оптический,гирокомпас 97-27-YQ6H-9842 ,0
антенна QK-62-CBVJ-4563 ,антенна 3K-62-CBVJ-4563 ,0
трапеция 4R-51-4VND-0497 Акустический,трапеция 4R-51-4VND-0497 ,1
симуляция N4-68-735C-9014 Управляющий,фонарь N4-68-735C-9014 Пневматический,1
дырокол 6V-89-GTEU-4082 ,дырокол 6V-89-G4EU-4082 ,0
последовательность 6M-20-AXNK-3953 Радиолокационный,двутавр 6M-20-AXNK-3953 ,1
уровень 20-59-3UME-6914 ,уровень L3-10-K1XC-6541 ,0
шуруповерт 8Z-21-G6W5-8326 Газодинамический,опробование 8Z-21-G6W5-8326 Пневматический,1
ассоциация CJ-63-URRY-8459 Технический,клапан CJ-63-URRY-8459 Гальванический,1
эксперимент IJ-97-2SHJ-3765 Газодинамический,эксперимент IJ-97-2SHJ-3765 ,1
клещ D2-86-DA24-3703 Радиотехнический,клещ D2-86-DA24-3703 ,1
электродвигатель 4M-74-QE0O-1451 Вибрационный,электродвигатель 4M-74-QE0O-1451 Радиочастотный,1
турбулентность U7-06-X119-4787 Химический,турбулентность 2R-72-VKAV-3387 Химический,0
цанга 8O-95-EH53-3581 ,цанга 8O-95-EH58-3581 ,0
электросверло 3I-72-E7ZX-7301 Эргономический,расчет 3I-72-E7ZX-7301 ,1
нож NC-76-46I0-9310 Эргономический,нож NC-76-46I0-9300 Эргономический,0
клепка WM-16-7LQG-0819 Расчетный,клепка 4O-71-SEYT-8754 Расчетный,0
клапан 0R-30-6UWP-2187 Лазерный,темномер 0R-30-6UWP-2187 Технический,1
циркуль KX-63-HBE3-6430 Геотехнический,циркуль KT-76-QXCE-9299 ,0
настой VH-64-9YX8-5035 ,настой V0-64-9YX8-5035 ,0
эксперимент NN-97-EOQ0-2431 Телекоммуникационный,эксперимент NN-97-EOQ0-2431 Фотографический,1
каталогизация I0-96-SP52-9328 Термический,каталогизация HQ-30-7063-8138 Термический,0
уровень 4M-66-55IV-7024 Кинематический,дырокол 4M-66-55IV-7024 ,1
такометр F3-35-MBQ3-6979 Радиочастотный,такометр F3-35-MBQ3-6979 ,1
якорь TO-20-M6B4-2269 ,якорь TO-20-M6B6-2269 ,0
клапан JN-12-VR6H-7348 Исследовательский,шпатель JN-12-VR6H-7348 ,1
шкала 12-45-TEB7-8569 Регулирующий,шкала PI-94-Q0ZX-1468 ,0
бита 4N-59-7ZFN-2180 ,бита 5H-45-EUKW-0025 ,0
каталогизация NX-86-OCCA-0408 ,каталогизация NX-83-OCCA-0408 ,0
ключ CK-46-WBQY-2367 ,ключ SR-38-8JH8-5966 ,0
бита HT-78-YVSZ-1486 ,вал HT-78-YVSZ-1486 ,1
катушка EF-84-RD43-8945 Экологический,катушка EF-84-RD43-8945 ,1
цилиндр I2-28-MGPK-5039 ,цилиндр UQ-75-I720-4669 ,0
