Исходные данные,Референс,Классификатор
фонарь OW-96-AGHZ-3949 Энергетический,шкала OW-96-AGHZ-3949 ,1
эксперимент 53-23-XRL5-1823 Регулирующий,полумесяц 53-23-XRL5-1823 ,1
жесткость E7-99-XBXG-2648 ,жесткость CY-03-QZ7X-2885 ,0
щетка QF-03-ZNWN-0706 ,щетка QF103-ZNWN-0706 ,0
идеализация RZ-85-RN2H-2307 Исследовательский,гирокомпас RZ-85-RN2H-2307 Лазерный,1
игла 1G-68-3ZNI-8550 Управляющий,водоснабжение 1G-68-3ZNI-8550 Управляющий,1
тент 0I-79-HB1L-3228 ,тент 0I-79-HB16-3228 ,0
переименование VY-19-47S6-3130 ,переименование VY-19-47S6-0130 ,0
моделирование 8O-14-ERCO-9355 Энергетический,аттестация 8O-14-ERCO-9355 ,1
анализатор FG-05-1L2H-8228 Нанотехнологический,диспергирование FG-05-1L2H-8228 ,1
шуруповерт F5-87-O5B6-4572 ,шуруповерт F5887-O5B6-4572 ,0
ключ BQ-78-KEMK-5897 Пневматический,ключ BQ-78-KEMK-5897 ,1
молоток HO-70-N921-7304 Акустический,шпатель HO-70-N921-7304 ,1
аппаратура 6H-44-OJ8T-5088 ,аппаратура 6H-44-OJ8T-6088 ,0
имитация 3J-43-91S8-7314 Компьютерный,вихрь 3J-43-91S8-7314 ,1
гидростатика AX-68-7LTJ-3959 ,гидростатика C8-20-31QY-5428 ,0
плоскогубцы 99-91-E9EK-9194 Экологический,плоскогубцы P9-21-5LNZ-4704 Экологический,0
аппаратура WS-24-A5TG-8529 Регулирующий,аппаратура ND-12-5WDR-6884 Регулирующий,0
плоскогубцы FF-97-431R-6756 Фотографический,аппаратура FF-97-431R-6756 ,1
вал 7F-40-NLO2-1965 ,вал 7F-40-NLO2-1965 ,1
сварка ND-33-KKBR-1298 Архитектурный,шуруповерт ND-33-KKBR-1298 ,1
моделирование WR-03-8MG8-4929 ,моделирование WR803-8MG8-4929 ,0
структурирование 1Z-86-NW49-0034 ,структурирование X8-07-63AJ-5641 ,0
уровень 7S-66-RP8Z-9378 Гравитационный,катушка 7S-66-RP8Z-9378 Полупроводниковый,1
переименование NO-02-CKYQ-7301 Нанотехнологический,переименование NO-02-CKYQ-7301 ,1
клещ RM-63-H6OR-2014 ,клещ HP-52-IHIW-8893 ,0
такометр J9-22-QTBK-2848 ,анализатор J9-22-QTBK-2848 ,1
лента PR-48-VIGZ-9329 ,лента PR-48-V7GZ-9329 ,0
клещи RB-25-KORE-6724 ,клещи ZK-89-AST1-1860 ,0
темномер KQ-23-JSYW-8654 Эргономический,крюки KQ-23-JSYW-8654 Фотографический,1
шкала 40-79-GN3M-2634 Радиолокационный,цилиндр 40-79-GN3M-2634 ,1
молоток BF-14-XXWE-9388 Лазерный,тара BF-14-XXWE-9388 Пневматический,1
нож H4-97-TQWQ-1893 ,нож QX-23-NS7D-6532 ,0
фонарь ND-67-342Z-1386 Конструктивный,струновка ND-67-342Z-1386 ,1
станция CO-63-GRUL-8769 ,станция CO-63-GRUL-8769 ,1
идеализация DD-18-PX32-4980 ,идеализация DD-18-PX32-4580 ,0
холодильник JH-57-7I04-9255 Метрологический,турбулентность JH-57-7I04-9255 ,1
двутавр 6N-46-LC7U-4224 ,двутавр OO-24-XWM4-3747 ,0
темномер 2W-70-JVPS-5452 Генетический,темномер 2W-70-JVPS-5452 Генетический,1
гирокомпас UN-93-68JI-8279 ,гирокомпас TO-27-N2JP-5901 ,0
симуляция LI-63-EK59-7135 Электрический,трапеция LI-63-EK59-7135 ,1
пульсометр C0-15-3KVJ-0939 ,пульсометр C0-15-6KVJ-0939 ,0
фильтр EX-71-T4AN-3704 ,уровень EX-71-T4AN-0704 ,0
тисочки F7-21-LFSD-1277 Кибернетический,щетка F7-21-LFSD-1277 ,1
рельс JG-16-N9KP-1146 Проектировочный,рельс JG-16-N92P-1146 Проектировочный,0
фильтр QH-35-MILX-1465 ,фильтр QH-35-MILX-1425 ,0
клапан YP-66-TPTD-9607 ,клапан YP-66-TPTD89607 ,0
имитация MT-11-HOKP-6900 Оптический,цилиндр MT-11-HOKP-6900 Оптический,1
рельс ON-81-SOB2-7037 Тепловой,рельс 12-69-A6RZ-9410 ,0
двутавр GF-88-CM1B-2506 ,якорь GF-88-CM1B-2506 ,1
расчет SV-98-OTVX-2941 Лазерный,трапеция SV-98-OTVX-2941 ,1
холодильник YW-40-Q6U0-0297 Метрологический,холодильник 1Q-30-S8ZM-2698 ,0
молоток F6-99-1T2I-1982 Термический,отвертка F6-99-1T2I-1982 ,1
симуляция TR-60-PY2D-8164 ,симуляция 1X-01-5IZD-4631 ,0
пульсометр FI-13-Y8OV-6199 ,пульсометр VU-27-7XX5-3571 ,0
отвертка 2J-22-S7XF-0837 ,бита 2J-22-S7XF-0857 ,0
пила KJ-23-OF9B-6371 ,пила MA-40-2AMP-7838 ,0
игла NC-97-CSGC-1166 ,крестовина NC-97-CSGC-1166 ,1
рычаг 2F-43-OEEX-0034 Вибрационный,рычаг 2F-43-OEEX-0034 ,1
датчик CU-87-9RUK-9091 Нанотехнологический,датчик CU-87-9RUK-0091 Нанотехнологический,0
структурирование 9L-30-3654-2119 Сверхпроводящий,структурирование 9L-30-3654-2119 ,1
имитация W5-99-7AB5-6849 Технический,программатор W5-99-7AB5-6849 ,1
крюки OR-80-OTBX-3289 Кибернетический,крюки OR-80-OTBX-3289 ,1
оружие XL-84-SWT2-3900 Ядерный,тисочки XL-84-SWT2-3900 Гидравлический,1
последовательность AG-78-U6E8-9167 ,последовательность AG-78-U3E8-9167 ,0
молоток A4-55-216I-3645 ,молоток 34-73-NEXQ-8790 ,0
тисочки 30-61-02NR-7759 ,тисочки 30-51-02NR-7759 ,0
гидростатика 15-28-YO6N-5671 ,гидростатика 15-28-YO6N-5611 ,0
плоскогубцы 9C-01-GEGR-5394 ,плоскогубцы 0U-45-MFZS-8424 ,0
такометр LI-07-4EC4-8459 ,электросверло LI-07-4EC4-8459 ,1
доска EN-41-WNWY-4287 ,доска JA-20-QVQY-7592 ,0
фильтр UN-63-HWRQ-0440 ,фильтр OO-94-OA49-4315 ,0
детектор 9O-83-N9WT-4833 ,каталогизация W0-36-1XBT-1969 ,0
гирокомпас 03-02-VS67-4568 Кибернетический,крюки 03-02-VS67-4568 Энергетический,1
гидростатика XA-23-RIU5-3054 Химический,гидростатика XA-23-RI05-3054 Химический,0
расчет XX-44-P6FC-5820 Исследовательский,расчет XX-44-P6FC-5820 ,1
гирокомпас 5R-10-YUPZ-8121 ,детектор 5R-10-YUPZ-8121 ,1
турбулентность RW-15-ADQQ-5554 Кибернетический,турбулентность RW-15-ADQQ-5554 ,1
тиски KV-00-FLQ7-5916 ,тиски KV-07-FLQ7-5916 ,0
струновка NU-12-1B8B-5282 ,струновка NU-12-1B8B-5282 ,1
врезка 56-23-PQJY-5699 ,клещ 56-23-PQJY-5699 ,1
врезка TM-41-VWZV-2551 ,врезка ZM-10-YGWE-7712 ,0
опробование UY-36-BM5K-1601 Электрический,опробование UY-36-BM5K-1601 ,1
аттестация 8C-76-D0RC-8382 ,аттестация A7-00-7F84-0209 ,0
тара KG-12-FUXA-4488 ,паяльник KG-12-FUXA-4488 ,1
крестовина 0X-73-VWRV-8346 Аэродинамический,крестовина 0X-73-VWRV-8346 Аэродинамический,1
турбулентность 1U-19-K533-7512 Тепловой,турбулентность W0-39-0FSU-2360 Тепловой,0
оврископ 8L-62-T10X-2560 Гидравлический,аналитика 8L-62-T10X-2560 ,1
тиски E6-42-FWJK-7928 Биотехнологический,катушка E6-42-FWJK-7928 ,1
стамеска SG-38-RVN4-1033 Генетический,энтузиазм SG-38-RVN4-1033 ,1
структурирование EW-42-9J94-8521 Кинематический,симуляция EW-42-9J94-8521 ,1
гидростатика 56-74-02XQ-3531 ,гвоздодер 56-74-02XQ-3531 ,1
проточка E7-13-RH4V-4996 ,проточка E7-17-RH4V-4996 ,0
нож 0A-69-WH05-8712 ,нож 0A-69-2H05-8712 ,0
водоснабжение BT-30-ZUU9-2497 Механический,шкала BT-30-ZUU9-2497 Архитектурный,1
нож RK-24-ZQ6M-2580 ,нож 9L-32-34Z0-0093 ,0
цилиндр N6-96-PBZM-9156 Фотографический,проточка N6-96-PBZM-9156 Химический,1
аппаратура Z3-91-LKNZ-0624 Полупроводниковый,жесткость Z3-91-LKNZ-0624 Регулирующий,1
водоснабжение 5M-30-NR46-1067 Акустический,водоснабжение 0B-75-9NCW-5786 Акустический,0
каталогизация LR-55-NS45-9000 ,каталогизация L4-55-NS45-9000 ,0
электросверло OF-52-4UO7-4569 Оптический,гидрамеханика OF-52-4UO7-4569 ,1
клещи J7-26-SL4W-4073 Криогенный,клещи KC-40-NRLV-7405 Криогенный,0
жесткость MB-39-G9S6-5556 Энергетический,гидрамеханика MB-39-G9S6-5556 ,1
тисочки MR-10-3E5N-7176 Металлургический,отвертка MR-10-3E5N-7176 Вибрационный,1
реостат WI-62-RJNB-8203 Электрический,паяльник WI-62-RJNB-8203 ,1
водоснабжение 7L-84-U646-6623 Термический,имитация 7L-84-U646-6623 Управляющий,1
симуляция U6-69-JBII-7326 Автоматический,плоскогубцы U6-69-JBII-7326 Кинематический,1
тиски OC-83-GNP8-5037 Кинематический,пилка OC-83-GNP8-5037 Расчетный,1
паста ZP-32-VRN7-6777 ,паста ZP-31-VRN7-6777 ,0
шуруповерт 7L-86-0IUV-9538 Гравитационный,датчик 7L-86-0IUV-9538 ,1
цилиндр 0H-09-5YX4-4325 Безопасностный,доска 0H-09-5YX4-4325 ,1
термометр DQ-65-H8SX-2388 Метрологический,термометр 4B-22-Z4YY-9383 Метрологический,0
шкала XW-13-9FCT-2803 ,шкала XW-13-7FCT-2803 ,0
амортизация R5-59-DRLX-1954 ,молоток R5-59-DRLX-1954 ,1
клещи 1H-43-S1KN-5606 ,клещи 1H-03-S1KN-5606 ,0
стамеска N9-21-N9OR-5221 ,стамеска E6-58-1B19-5907 ,0
спарка AU-59-VYN7-8256 Тепловой,циркуль AU-59-VYN7-8256 Термический,1
пилка LO-45-3OXO-2781 Вибрационный,пилка FY-95-QKPO-1609 ,0
моделирование NT-46-2IXL-3980 Термический,лента NT-46-2IXL-3980 ,1
ассоциация L2-47-Q7F8-2996 Вибрационный,ассоциация L2-47-87F8-2996 Вибрационный,0
тренога 0M-60-X9EI-4162 Криогенный,дырокол 0M-60-X9EI-4162 ,1
крюки C9-80-0N1S-1353 Гидравлический,крюки RJ-90-20KB-4102 Гидравлический,0
молоток BM-29-0XBT-1188 Расчетный,врезка BM-29-0XBT-1188 ,1
тиски I6-16-VHC7-8571 ,дырокол I6-16-VHC7-8581 ,0
вихрь L5-50-L73O-3490 Микробиологический,вихрь VG-98-0BJV-8751 ,0
клепка 01-37-0YG9-9864 ,отвертка 01-37-0YG9-9864 ,1
клещи R9-96-IIZI-2662 Силовой,электродвигатель R9-96-IIZI-2662 Проектировочный,1
субкультура F4-58-BTCY-2459 Метрологический,субкультура HD-82-K8ZR-4248 Метрологический,0
цилиндр P6-51-WT8B-6610 ,цилиндр P6-61-WT8B-6610 ,0
полумесяц GU-40-33VD-2038 Термический,полумесяц GU-40-33VD-2038 Оптический,1
водоснабжение MH-40-1G3F-6138 Биотехнологический,водоснабжение 1K-27-SNS0-5506 Биотехнологический,0
пассатижи 1W-94-JJQE-8378 Энергетический,спарка 1W-94-JJQE-8378 ,1
пила K9-77-MSDT-3768 Безопасностный,тент K9-77-MSDT-3768 Полупроводниковый,1
паста PB-27-IA8F-1148 ,паста EN-98-UCXL-3018 ,0
рельс DA-66-JIZM-1166 Фотографический,спарка DA-66-JIZM-1166 ,1
расчет RG-28-MV1E-5304 Газодинамический,датчик RG-28-MV1E-5304 ,1
циркуль 50-11-Y6EJ-7134 Регулирующий,опробование 50-11-Y6EJ-7134 ,1
клепка O1-17-EL4M-2297 Экологический,клепка O1-13-EL4M-2297 Экологический,0
датчик AX-32-MCI1-1541 ,клещи AX-32-MCI1-1541 ,1
лента OW-99-QY48-0363 Радиочастотный,лента H8-69-JZUN-1882 Радиочастотный,0
настой 7B-48-NH80-0431 ,настой JP-09-1WMU-6084 ,0
лагерь FR-02-C64T-3240 Гравитационный,цилиндр FR-02-C64T-3240 Фотографический,1
гирокомпас BZ-35-IYGK-3091 Телекоммуникационный,гирокомпас BZ-35-IYG4-3091 Телекоммуникационный,0
пульсометр IH-26-OS1Q-3502 ,пульсометр BP-91-V4C9-3890 ,0
фонарь 08-05-F72V-2643 ,фонарь I1-84-YL7J-6744 ,0
ассоциация WX-45-0AVE-8893 ,ассоциация 1X-45-0AVE-8893 ,0
жесткость FK-33-2BP0-9957 Робототехнический,нож FK-33-2BP0-9957 ,1
крестовина 9F-19-YBKI-8315 ,крестовина 4I-94-GMI4-8059 ,0
пульсометр BN-45-4DCR-4554 ,пульсометр NW-67-VOF3-7662 ,0
крестовина PW-97-PGYP-2573 Криогенный,моделирование PW-97-PGYP-2573 ,1
реостат 0O-45-JDRG-4749 Электрический,реостат 0O-45-JD3G-4749 ,0
фильтр U1-73-4MX9-1734 ,фильтр U1-73-4M49-1734 ,0
фонарь 8Z-40-OGJM-1355 Генетический,цанга 8Z-40-OGJM-1355 ,1
уровень 3Y-17-HFC3-6632 Технический,трапеция 3Y-17-HFC3-6632 ,1
клещи NJ-49-A9BJ-6505 ,клещи 1M-73-L8PJ-6291 ,0
сварка XD-34-ADGI-7400 Ядерный,сварка XD-34-ADGI-7400 ,1
детектор XC-24-2TWK-3781 Гидравлический,шпатель XC-24-2TWK-3781 ,1
гирокомпас U8-66-RPLK-8854 ,гирокомпас HO-06-IC5N-0905 ,0
тара JC-41-VBTM-0178 Регулирующий,стамеска JC-49-VBTM-0178 ,0
цилиндр Z1-44-IVUX-7271 Исследовательский,цилиндр IE-20-UNAO-0649 Исследовательский,0
катушка XF-43-719D-7502 Гравитационный,клапан XF-43-719D-7502 Исследовательский,1
дырокол 75-89-12MK-8739 Микробиологический,дырокол 75-89-12MK-8749 Микробиологический,0
клещ NZ-50-9BUD-0542 Управляющий,рельс NZ-50-9BUD-0542 ,1
идеализация Z6-13-ZZ53-6081 ,реостат Z6-13-ZZ53-6081 ,1
оружие C7-69-DH0G-5431 Кибернетический,энтузиазм C7-69-DH0G-5431 ,1
шкала 9J-99-RNRO-9869 Металлургический,шкала 9J-99-R1RO-9869 ,0
электродвигатель FB-69-RDPZ-6906 ,электродвигатель FB-69-RDPZ-6906 ,1
такометр E6-24-2K54-2721 Радиолокационный,пилка E6-24-2K54-2721 Конструктивный,1
структурирование HB-48-UV72-0459 Криогенный,вал HB-48-UV72-0459 ,1
гидростатика NO-60-YG1C-2495 Радиолокационный,холодильник NO-60-YG1C-2495 Кибернетический,1
игла C0-32-OZJR-7679 ,игла C0-32-OZJR-7479 ,0
электросверло M7-92-P6VK-8431 ,электросверло M7-92-P6VK-8441 ,0
жесткость XC-55-CQUW-0648 ,жесткость XC-55-CQUW-0688 ,0
фонарь R2-97-9E5T-0739 Гидравлический,фонарь R2-97-9E5T-0739 ,1
жесткость Q2-34-NS2F-2996 ,жесткость AN-13-B9TT-6038 ,0
моделирование Z2-31-5TDJ-1773 Конструктивный,водоснабжение Z2-31-5TDJ-1773 ,1
нож O6-43-WI5K-5747 Кинематический,плоскогубцы O6-43-WI5K-5747 Безопасностный,1
термометр 2G-25-ND9K-0648 Эргономический,градусник 2G-25-ND9K-0648 Безопасностный,1
тара Y7-32-KO9Z-5658 Регулирующий,двигатель Y7-32-KO9Z-5658 Силовой,1
переименование ZL-46-FADG-9865 ,переименование 72-49-AB1F-4261 ,0
клещи HQ-34-XN7G-9041 Термический,клещ HQ-34-XN7G-9041 Электрический,1
цанга R4-66-8GPP-7369 Геотехнический,бита R4-66-8GPP-7369 Нанотехнологический,1
моделирование NI-08-0B7U-1185 Расчетный,аналитика NI-08-0B7U-1185 ,1
гидростатика ZR-75-EKTX-7652 Робототехнический,аттестация ZR-75-EKTX-7652 ,1
вихрь A2-17-0SMX-5038 ,вихрь DG-12-Q5SN-1920 ,0
щетка PG-47-A1DT-6555 ,щетка PG-45-A1DT-6555 ,0
клепка 0D-04-6LGF-0119 Робототехнический,клепка 9E-34-68MJ-4444 Робототехнический,0
краскопульт 5A-09-M5TF-6541 Телекоммуникационный,краскопульт UQ-26-P2ST-5155 Телекоммуникационный,0
каталогизация DD-42-DEHA-3500 Оптический,каталогизация PH-45-ZDG2-1330 ,0
клапан LI-87-6URR-2990 Метрологический,анализатор LI-87-6URR-2990 Метрологический,1
уровень EJ-96-R0W7-5331 ,уровень EJ-96-R0W7-5331 ,1
лагерь WV-52-DRYH-7954 Архитектурный,клапан WV-52-DRYH-7954 Геотехнический,1
пилка XU-00-TUDB-8045 Эргономический,вихрь JN-21-A16M-1480 Эргономический,0
опробование RI-30-1PG9-4139 ,опробование XT-29-SJNL-3048 ,0
циркуль JL-33-Y9VS-6877 Кибернетический,циркуль JL-33-Y9VS-6877 ,1
каталогизация CG-71-FVD9-5522 Полупроводниковый,паяльник CG-71-FVD9-5522 ,1
катушка 9D-89-C9GA-7375 Аэродинамический,клепка 9D-89-C9GA-7375 Биомедицинский,1
цанга WS-06-6H75-0468 Криогенный,антенна WS-06-6H75-0468 ,1
диспергирование VD-71-PAAV-5766 ,диспергирование F3-91-YGA2-7563 ,0
вихрь BA-14-KC5E-4729 ,вихрь BA-10-KC5E-4729 ,0
игла IF-77-9ALW-2011 Регулирующий,энтузиазм IF-77-9ALW-2011 ,1
холодильник GD-27-YNH8-5343 Гидравлический,холодильник GD-27-YNH8-5343 Ядерный,1
гидрамеханика 38-03-FGG6-4048 ,гидрамеханика 38-03-FGG6-4098 ,0
кисточка QA-21-MALZ-2411 Гальванический,двутавр QA-21-MALZ-2411 Кинематический,1
имитация VB-58-S4YE-9105 Аэродинамический,имитация Q3-86-RRBR-0111 ,0
тренога N2-56-FQVW-0664 ,клещи N2-56-FQ5W-0664 ,0
гидрамеханика N5-52-EUKS-3434 Конструктивный,гидрамеханика UH-41-C7QD-3031 Конструктивный,0
проточка T1-70-FDS0-8414 Газодинамический,проточка T1-70-FDS0-8414 ,1
клещи X1-54-4CNX-5834 ,пассатижи E5-46-UA06-5622 ,0
доска UO-51-MY9X-9971 ,доска 7O-51-MY9X-9971 ,0
градусник HE-53-AKQ5-1283 ,градусник HE-53-AKQ5-1203 ,0
антенна DG-87-3XC1-3586 ,антенна 9H-42-XL5Y-8628 ,0
сварка PC-62-WFXY-0261 ,сварка TM-27-CQ0S-4268 ,0
стамеска AY-54-2PCK-6362 ,стамеска AY-54-20CK-6362 ,0
уровень WA-92-YFAW-4156 Лазерный,уровень CO-43-XLRH-7410 Лазерный,0
расчет JZ-07-07Z1-1075 Регулирующий,клещ JZ-07-07Z1-1075 Управляющий,1
гидрамеханика N1-62-41PT-5656 ,гидрамеханика N1962-41PT-5656 ,0
оружие HQ-52-9N6N-0979 ,оружие 7L-02-IHBN-2974 ,0
гидрамеханика B8-47-3Q9Q-1502 ,гидрамеханика B8747-3Q9Q-1502 ,0
шуруповерт TG-89-ORNT-7886 ,двутавр TG-89-ORNT-7886 ,1
компрессор RA-58-ZGWQ-4254 Биомедицинский,рулетка RA-58-ZGWQ-4254 ,1
ключ M5-30-L1SG-0239 Электрический,ключ PN-85-3UDP-1486 ,0
якорь GV-47-7A29-1516 ,якорь GV-47-7A69-1516 ,0
тисочки 1R-95-Y6J0-1615 Энергетический,тисочки 1R-95-Y670-1615 Радиотехнический,0
оружие 4P-93-CFWC-0788 ,оружие 4P-93-CFW9-0788 ,0
реостат FL-25-JQ7S-1768 ,реостат FL-25-JQ75-1768 ,0
щетка 24-59-LKL2-6047 Конструктивный,настой 24-59-LKL2-6047 Конструктивный,1
якорь IM-97-CBQD-9335 Криогенный,якорь IM-97-CBQ3-9335 Криогенный,0
тара YN-45-KP3O-8006 Аэродинамический,тара YN-45-KP3O-8006 ,1
датчик UY-38-HM98-9511 Акустический,электросверло UY-38-HM98-9511 Технический,1
клепка 27-89-T8AH-3825 ,клепка 27-89-T8AH-9825 ,0
шкала H9-22-ANR5-2656 Компьютерный,щетка H9-22-ANR5-2656 Метрологический,1
моделирование T2-80-2VIM-2118 ,пульсометр T2-80-2VIM-2818 ,0
опробование LH-92-T40U-5348 Сверхпроводящий,опробование LH892-T40U-5348 Сверхпроводящий,0
нож CB-90-P0TP-4840 ,клепка CB-90-P0TP-4840 ,1
последовательность HV-28-HP6E-5076 ,последовательность HV-78-HP6E-5076 ,0
крестовина FM-31-NNL0-5056 Экологический,крестовина WT-81-F2IZ-5826 Экологический,0
лента U4-07-ALXU-6334 Расчетный,датчик U4-07-ALXU-6334 Нанотехнологический,1
тент BJ-43-HZ0I-6025 Микробиологический,шкала BJ-43-HZ0I-6025 ,1
оврископ IX-33-37NF-2306 Акустический,оврископ IX-33-37NF-2306 ,1
энтузиазм 78-28-QTOB-2638 ,энтузиазм 78-28-QTOB-2688 ,0
